corpus	article_num	article_len	overlap_len	overlap_last_token	overlap_freq	5gram_logprob	below_threshold
dundee	0	1451	10	211	5	-10.95063	0
dundee	0	1451	10	1194	1	-13.0741636	0
dundee	1	852	11	197	1	-14.6741582	0
dundee	2	872	9	46	1	-10.502727	0
dundee	2	872	9	558	6	-12.2460521	0
dundee	2	872	9	656	3	-15.034502	0
dundee	2	872	9	671	2	-13.40608	0
dundee	3	764	9	312	4	-12.451479	0
dundee	4	767	16	154	1	-26.20109	1
dundee	5	840	12	134	25	-10.0475604	0
dundee	6	841	11	378	5	-14.649961	0
dundee	6	841	11	583	1	-18.54036	0
dundee	6	841	11	584	1	-18.10473	0
dundee	6	841	11	824	1	-16.00733166	0
dundee	7	671	14	16	2	-19.3207106	0
dundee	8	1606	12	932	1	-15.849222	0
dundee	9	417	10	103	1	-15.707512	0
dundee	9	417	10	162	1	-14.76800662	0
dundee	10	465	10	60	1	-15.10754694	0
dundee	11	466	10	166	1	-15.8199991	0
dundee	12	243	9	238	1	-14.540863	0
dundee	12	243	9	239	1	-14.072807	0
dundee	13	746	11	515	1	-18.136127	0
dundee	14	790	12	702	2	-29.16462662	1
dundee	15	826	11	308	1	-25.2242873	0
dundee	15	826	11	309	1	-22.2190173	0
dundee	16	3174	10	1838	2	-18.29121	0
dundee	16	3174	10	1926	3	-15.64726	0
dundee	17	76	8	39	1	-14.50630362	0
dundee	17	76	8	54	1	-13.5704498	0
dundee	18	456	17	173	5	-21.6551346	0
dundee	19	487	12	129	1	-13.269877	0
dundee	20	2164	10	406	1	-19.192272	0
dundee	21	176	9	136	5	-12.8542121	0
dundee	22	253	7	87	1	-13.509435	0
dundee	23	245	10	12	1	-14.726884	0
dundee	24	236	8	207	16	-11.04611594	0
dundee	25	1003	20	765	1	-29.1578672	1
dundee	26	1439	9	57	4	-13.678742	0
dundee	26	1439	9	521	2	-10.23262884	0
dundee	26	1439	9	972	1	-13.349678	0
dundee	27	757	10	617	3	-12.7452382	0
dundee	28	1201	9	1190	1	-13.193337	0
dundee	28	1201	9	1192	4	-10.7445576	0
dundee	29	1283	12	20	7	-14.51499062	0
dundee	30	249	8	51	1	-13.9260271	0
dundee	30	249	8	220	5	-11.7263661	0
dundee	31	661	12	537	2	-18.433426	0
dundee	32	784	10	140	1	-15.567879	0
dundee	33	1540	10	218	1	-19.109467	0
dundee	34	1536	11	183	2	-7.51185	0
dundee	34	1536	11	400	40	-9.36776122	0
dundee	34	1536	11	402	1	-11.2017218	0
dundee	35	739	10	184	1	-11.74387394	0
dundee	36	994	9	128	8	-10.084761	0
dundee	36	994	9	378	1	-12.3405996	0
dundee	36	994	9	801	16	-10.190454	0
dundee	36	994	9	865	1	-19.1595847	0
dundee	37	1272	11	46	1	-19.2204	0
dundee	38	1460	13	1403	1	-15.30509962	0
dundee	39	367	10	15	1	-10.940876	0
dundee	40	1095	11	552	1	-16.984813	0
dundee	41	774	9	175	3	-11.30287	0
dundee	41	774	9	280	1	-14.449647	0
dundee	41	774	9	641	1	-13.682248	0
dundee	42	1106	12	91	2	-13.96428204	0
